$PRACTISCORE 1.682 RESULTS
$INFO Region:USPSA
$INFO PLATFORM IOS
$INFO PractiScore_Product: PractiScore (iOS)
$INFO PractiScore_Version:1.682
$INFO Match name:Texas State Open Championship 2022
$INFO Match date:04/22/2022
$INFO Club Name:Generation Practical Shooters
$INFO Club Code:IPSC100
$INFO Multigun:0
$INFO Scoring:0
$INFO Classifiers:0
$INFO Match Level: Level II
Z 3.0
A Texas State Open Championship 2022,Generation Practical Shooters,04/22/2022
D Comp,USPSA,FirstName,LastName,DQPistol,DQRifle,DQShotgun,Reentry,Class,Division,Match Points,Place Overall,Power Factor,Shotgun Division,Shotgun Power Factor,Shotgun Place Overall,Shotgun Entered,Shotgun Match Points,Rifle Division,Rifle Power Factor,Rifle Place Overall,Rifle Entered,Rifle Match Points,Aggregate,Aggregate Division,Aggregate Pistol Percent,Aggregate Pistol Points,Aggregate Place,Aggregate Rifle Percent,Aggregate Rifle Points,Aggregate Shotgun Percent,Aggregate Shotgun Points,Aggregate Total,Female,Age,Law,Military
E 1,L4511,Alex,Acosta,No,No,No,No,GM,Carry Optics,1181.6734,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 2,ty110604,Tyler,Northcutt,No,No,No,No,GM,Carry Optics,1175.7960,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 3,L4855,Brandon,Elias,No,No,No,No,GM,Carry Optics,1146.1561,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 4,A72605,Rori,Songco,No,No,No,No,U,Carry Optics,1128.1012,4,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 5,A115726,Cameron,Templin,No,No,No,No,GM,Carry Optics,1113.1583,5,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 6,A109825,Robert,Sandoz,No,No,No,No,M,Carry Optics,1106.6812,6,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 7,a121108,Paul,Khederian,No,No,No,No,A,Carry Optics,1086.1146,7,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 8,A133048,Robert,berry,No,No,No,No,A,Carry Optics,1086.0428,8,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 9,A118138,Matt,Chua,No,No,No,No,GM,Carry Optics,1081.6008,9,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 10,TY101554,Albert,Montanez,No,No,No,No,A,Carry Optics,1073.3746,10,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 11,L5142,Brandon,Foss,No,No,No,No,M,Carry Optics,1072.6304,11,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 12,TY105111,Kevin,Bunurai,No,No,No,No,M,Carry Optics,1071.5821,12,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 13,A132129,Tori,Martinez,No,No,No,No,A,Carry Optics,1040.4614,13,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 14,A99506,Jeff,Rockwell,No,No,No,No,M,Carry Optics,1038.5099,14,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 15,TY132993,Dat,Hoang,No,No,No,No,M,Carry Optics,1036.4408,15,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 16,TY107123,Paul,Felker,No,No,No,No,M,Carry Optics,1016.1712,16,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 17,A100186,Scot,Jones,No,No,No,No,B,Carry Optics,1011.4169,17,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 18,A139123,Jeremy,Mancos,No,No,No,No,U,Carry Optics,1005.3663,18,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 19,FY34819,Mike,Junco,No,No,No,No,M,Carry Optics,1004.6510,19,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 20,L3751,Derek,Birkenfeld,No,No,No,No,A,Carry Optics,1002.2555,20,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 21,A86498,Alex,Goben,No,No,No,No,A,Carry Optics,1001.9642,21,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 22,TY118318,Michael,Beavers,No,No,No,No,B,Carry Optics,1000.9305,22,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 23,A101123,Jake,Mansfield,No,No,No,No,B,Carry Optics,992.0797,23,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 24,F139568,Eli,Huttner,No,No,No,No,U,Carry Optics,990.6505,24,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
