$PRACTISCORE 1.682 RESULTS
$INFO Region:USPSA
$INFO PLATFORM IOS
$INFO PractiScore_Product: PractiScore (iOS)
$INFO PractiScore_Version:1.682
$INFO Match name:2022 LimCat Custom and Precision Delta Mississippi Classic
$INFO Match date:05/12/2022
$INFO Club Name:Magnolia Practical Shooters
$INFO Club Code:MS06
$INFO Multigun:0
$INFO Scoring:0
$INFO Classifiers:0
$INFO Match Level: Level II
Z 3.0
A 2022 LimCat Custom and Precision Delta Mississippi Classic,Magnolia Practical Shooters,05/12/2022
D Comp,USPSA,FirstName,LastName,DQPistol,DQRifle,DQShotgun,Reentry,Class,Division,Match Points,Place Overall,Power Factor,Shotgun Division,Shotgun Power Factor,Shotgun Place Overall,Shotgun Entered,Shotgun Match Points,Rifle Division,Rifle Power Factor,Rifle Place Overall,Rifle Entered,Rifle Match Points,Aggregate,Aggregate Division,Aggregate Pistol Percent,Aggregate Pistol Points,Aggregate Place,Aggregate Rifle Percent,Aggregate Rifle Points,Aggregate Shotgun Percent,Aggregate Shotgun Points,Aggregate Total,Female,Age,Law,Military
E 1,TY106150,Tom,Castro,No,No,No,No,GM,Carry Optics,1105.0770,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 2,A95225,Garran,Singleton,No,No,No,No,GM,Carry Optics,1103.6094,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 3,TY84389,Ethan,Boudreaux,No,No,No,No,M,Carry Optics,1046.2049,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 4,TY80296,Kevin,Leonhardt,No,No,No,No,M,Carry Optics,1032.5475,4,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 5,A123354,Michael,Thompson,No,No,No,No,GM,Carry Optics,990.2221,5,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 6,TY102754,Morgan,Leonhardt,No,No,No,No,M,Carry Optics,963.9440,6,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,Yes,Junior,No,No
E 7,TY119475,philip,giannone,No,No,No,No,M,Carry Optics,953.7993,7,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 8,TY97639,jason,watts,No,No,No,No,GM,Carry Optics,947.9889,8,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 9,A77712,Steven,Sanders,No,No,No,No,U,Carry Optics,938.7831,9,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 10,A133965,Seth,Thorne,No,No,No,No,A,Carry Optics,919.1678,10,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 11,A135704,Corrie,Harlow,No,No,No,No,A,Carry Optics,889.7398,11,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 12,TY44221,Brandon,Guillory,No,No,No,No,M,Carry Optics,888.8246,12,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 13,A113380,Scott,Cage,No,No,No,No,A,Carry Optics,850.6676,13,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 14,A111435,Stoney,Steele,No,No,No,No,M,Carry Optics,848.7199,14,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
