$PRACTISCORE 1.682 RESULTS
$INFO Region:USPSA
$INFO PLATFORM IOS
$INFO PractiScore_Product: PractiScore (iOS)
$INFO PractiScore_Version:1.682
$INFO Match name:WAC 10th Annual Gary "Doc" Welt Memorial Match 2022
$INFO Match date:06/24/2022
$INFO Club Name:Gulf Coast Lead Slingers
$INFO Club Code:CFL05
$INFO Multigun:0
$INFO Scoring:0
$INFO Classifiers:0
$INFO Match Level: Level II
Z 3.0
A WAC 10th Annual Gary "Doc" Welt Memorial Match 2022,Gulf Coast Lead Slingers,06/24/2022
D Comp,USPSA,FirstName,LastName,DQPistol,DQRifle,DQShotgun,Reentry,Class,Division,Match Points,Place Overall,Power Factor,Shotgun Division,Shotgun Power Factor,Shotgun Place Overall,Shotgun Entered,Shotgun Match Points,Rifle Division,Rifle Power Factor,Rifle Place Overall,Rifle Entered,Rifle Match Points,Aggregate,Aggregate Division,Aggregate Pistol Percent,Aggregate Pistol Points,Aggregate Place,Aggregate Rifle Percent,Aggregate Rifle Points,Aggregate Shotgun Percent,Aggregate Shotgun Points,Aggregate Total,Female,Age,Law,Military
E 1,TY106150,Tom,Castro,No,No,No,No,GM,Carry Optics,1115.0000,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 2,A101884,Anthony,Parra,No,No,No,No,GM,Carry Optics,969.5254,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 3,A139407,Jedidiah,Morgan,No,No,No,No,A,Carry Optics,912.3429,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 4,A113695,Jeffree,Suero,No,No,No,No,A,Carry Optics,905.0477,4,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 5,FY15086,Jamie,Craig,No,No,No,No,M,Carry Optics,876.2182,5,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 6,A101033,Breno,Lima,No,No,No,No,M,Carry Optics,853.0378,6,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 7,A133801,William,Baum,No,No,No,No,A,Carry Optics,849.7432,7,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 8,A107310,Luciano,Miceli,No,No,No,No,A,Carry Optics,834.6092,8,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 9,A133756,Juan,Bracamonte,No,No,No,No,A,Carry Optics,823.7030,9,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 10,A97482,G.J.,Ramchandani,No,No,No,No,B,Carry Optics,809.6658,10,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 11,A98899,David,Murphy,No,No,No,No,M,Carry Optics,793.9780,11,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 12,TY135033,JUAN,BASO,No,No,No,No,A,Carry Optics,785.3208,12,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 13,A129799,Diego,Reyna,No,No,No,No,B,Carry Optics,784.7001,13,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 14,FY136660,Conor,Craig,No,No,No,No,B,Carry Optics,783.2759,14,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 15,TY84876,Benjie,Villarruz,No,No,No,No,B,Carry Optics,778.7791,15,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 16,FY82088,Parks,Small,No,No,No,No,A,Carry Optics,768.3278,16,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 17,A122150,David,Lee,No,No,No,No,B,Carry Optics,756.7670,17,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 18,A98372,Borges,Wilfredo,No,No,No,No,B,Carry Optics,752.8263,18,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 19,FY135023,Bill,Perkins,No,No,No,No,B,Carry Optics,747.6625,19,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 20,TY101905,Mark,Gibbons,No,No,No,No,B,Carry Optics,737.1306,20,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 21,A88294,Sal,Izzo,No,No,No,No,C,Carry Optics,734.3341,21,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 22,TY109392,Scott,Hines,No,No,No,No,A,Carry Optics,707.0549,22,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
