$PRACTISCORE 1.682 RESULTS
$INFO Region:USPSA
$INFO PLATFORM IOS
$INFO PractiScore_Product: PractiScore (iOS)
$INFO PractiScore_Version:1.682
$INFO Match name:2022 AZ State USPSA Championship presented by Ruger Firearms
$INFO Match date:09/16/2022
$INFO Club Name:Prescott Practical Shooters
$INFO Club Code:AZ19
$INFO Multigun:0
$INFO Scoring:0
$INFO Classifiers:0
$INFO Match Level: Level II
Z 3.0
A 2022 AZ State USPSA Championship presented by Ruger Firearms,Prescott Practical Shooters,09/16/2022
D Comp,USPSA,FirstName,LastName,DQPistol,DQRifle,DQShotgun,Reentry,Class,Division,Match Points,Place Overall,Power Factor,Shotgun Division,Shotgun Power Factor,Shotgun Place Overall,Shotgun Entered,Shotgun Match Points,Rifle Division,Rifle Power Factor,Rifle Place Overall,Rifle Entered,Rifle Match Points,Aggregate,Aggregate Division,Aggregate Pistol Percent,Aggregate Pistol Points,Aggregate Place,Aggregate Rifle Percent,Aggregate Rifle Points,Aggregate Shotgun Percent,Aggregate Shotgun Points,Aggregate Total,Female,Age,Law,Military
E 1,A130592,Patrick,Posadas,No,No,No,No,A,Carry Optics,1056.2313,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 2,TY111995,Lee,Weinstein,No,No,No,No,GM,Carry Optics,1054.0319,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 3,TY129268,Paul,Yevtushenko,No,No,No,No,A,Carry Optics,1036.1821,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 4,A126740,Morgan,Gunnell,No,No,No,No,M,Carry Optics,1024.0093,4,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 5,A123174,Ryan,Mcmaken,No,No,No,No,M,Carry Optics,1014.2440,5,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 6,A132196,Allen,Ramos,No,No,No,No,M,Carry Optics,998.0252,6,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 7,L5095,Ryan,Bays,No,No,No,No,M,Carry Optics,976.2091,7,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 8,FY128043,Carson,Herding,No,No,No,No,M,Carry Optics,954.5864,8,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Junior,No,No
E 9,A129614,Zachary,Cobos,No,No,No,No,B,Carry Optics,937.1405,9,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 10,A138127,Dennis,Tran,No,No,No,No,B,Carry Optics,923.3696,10,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 11,A109367,Drew,Kampa,No,No,No,No,B,Carry Optics,893.4625,11,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 12,TY108543,Andrewlee,Chua,No,No,No,No,A,Carry Optics,887.1637,12,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 13,A131765,Jarrod,Murrieta,No,No,No,No,A,Carry Optics,876.3195,13,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 14,L2797,David,En,No,No,No,No,M,Carry Optics,871.4735,14,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 15,A108368,Eric,Brannon,No,No,No,No,M,Carry Optics,868.9100,15,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 16,A107523,Anthony,Villanueva,No,No,No,No,A,Carry Optics,867.4249,16,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 17,A138295,Alonso,Arellano,No,No,No,No,A,Carry Optics,856.8406,17,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 18,A134251,Grant,Schorbach,No,No,No,No,A,Carry Optics,849.7405,18,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 19,TY109126,John,Bowers,No,No,No,No,B,Carry Optics,830.1171,19,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 20,L5399,Coyled,Cobra commander,No,No,No,No,M,Carry Optics,829.4009,20,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 21,A135026,Arvy,Dela cruz,No,No,No,No,C,Carry Optics,828.0249,21,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 22,TY31712,Kurt,Ferstl,No,No,No,No,A,Carry Optics,817.5920,22,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 23,A75314,Aaron,Mun,No,No,No,No,M,Carry Optics,805.3464,23,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 24,TY93834,Thomas,Smith,No,No,No,No,B,Carry Optics,800.7548,24,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 25,TY131641,Jake,Montes,No,No,No,No,B,Carry Optics,799.2365,25,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 26,A140073,Jon,Roberson,No,No,No,No,B,Carry Optics,792.5019,26,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 27,A125534,Matthew,Loper,No,No,No,No,B,Carry Optics,769.9414,27,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 28,FY76199,Brion,Thomas,No,No,No,No,B,Carry Optics,768.5732,28,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 29,A134528,Joey,Tafolla,No,No,No,No,B,Carry Optics,760.7500,29,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 30,A124788,Ed,Kwon,No,No,No,No,A,Carry Optics,755.7243,30,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 31,A134750,Paolo,Bulatao,No,No,No,No,C,Carry Optics,752.3318,31,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 32,TY72948,William,Vanni,No,No,No,No,B,Carry Optics,748.8099,32,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 33,A56187,Michael,Filosofo,No,No,No,No,C,Carry Optics,734.4645,33,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 34,A54861,Dennis,Walker,No,No,No,No,A,Carry Optics,733.4744,34,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 35,L4587,Stephanie,Nguyen-lieu,No,No,No,No,C,Carry Optics,708.5693,35,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,Yes,,Yes,No
E 36,A139313,Kevin,Huffman,No,No,No,No,C,Carry Optics,675.5528,36,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 37,TY46063,Tommy,Lafrance,No,No,No,No,B,Carry Optics,671.8303,37,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 38,A139522,Sean,Greenbaum,No,No,No,No,C,Carry Optics,661.2204,38,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 39,FY124968,Robert,Cochran,No,No,No,No,C,Carry Optics,655.2231,39,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 40,A56897,Bruce,Funk,No,No,No,No,B,Carry Optics,653.6537,40,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 41,A137615,George,Mavromatis,No,No,No,No,B,Carry Optics,649.1984,41,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 42,FY83386,Paul,Zebro,No,No,No,No,C,Carry Optics,647.7000,42,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 43,A135257,Joseph,Viera,No,No,No,No,C,Carry Optics,647.1659,43,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 44,A125768,Avery,Glendenning,No,No,No,No,C,Carry Optics,641.5885,44,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 45,TY85230,Ross,Dunbar,No,No,No,No,B,Carry Optics,641.5829,45,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 46,TY136731,Justin,Radley,No,No,No,No,C,Carry Optics,640.5412,46,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 47,TY24322,Randy,Ryan,No,No,No,No,A,Carry Optics,622.5393,47,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 48,TY126707,Brandon,Moore,No,No,No,No,B,Carry Optics,611.7106,48,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 49,A123687,Jon,Hegreness,No,No,No,No,B,Carry Optics,600.3715,49,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 50,A100087,Luel,Baylon,No,No,No,No,C,Carry Optics,585.0066,50,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 51,TY105571,James,Johnson,No,No,No,No,C,Carry Optics,561.0176,51,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 52,A141441,Christopher,Cook,No,No,No,No,C,Carry Optics,536.7677,52,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 53,TY101903,Erich,Meder,No,No,No,No,C,Carry Optics,535.8876,53,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 54,A137792,Nick,Evans,No,No,No,No,B,Carry Optics,520.9066,54,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 55,A137326,Nathan,Peterson,No,No,No,No,C,Carry Optics,514.2329,55,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 56,L699,Donald,Moran,No,No,No,No,C,Carry Optics,496.8054,56,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 57,A125086,Aaron,Bellinger,No,No,No,No,D,Carry Optics,475.7876,57,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
