$PRACTISCORE 1.682 RESULTS
$INFO Region:USPSA
$INFO PLATFORM IOS
$INFO PractiScore_Product: PractiScore (iOS)
$INFO PractiScore_Version:1.682
$INFO Match name:MAS USPSA Apr 24, 2022
$INFO Match date:04/22/2022
$INFO Club Name:Monson Action Shooters
$INFO Club Code:NE23
$INFO Multigun:0
$INFO Scoring:0
$INFO Classifiers:1
$INFO Match Level: Level III
Z 3.0
A MAS USPSA Apr 24, 2022,Monson Action Shooters,04/22/2022
D Comp,USPSA,FirstName,LastName,DQPistol,DQRifle,DQShotgun,Reentry,Class,Division,Match Points,Place Overall,Power Factor,Shotgun Division,Shotgun Power Factor,Shotgun Place Overall,Shotgun Entered,Shotgun Match Points,Rifle Division,Rifle Power Factor,Rifle Place Overall,Rifle Entered,Rifle Match Points,Aggregate,Aggregate Division,Aggregate Pistol Percent,Aggregate Pistol Points,Aggregate Place,Aggregate Rifle Percent,Aggregate Rifle Points,Aggregate Shotgun Percent,Aggregate Shotgun Points,Aggregate Total,Female,Age,Law,Military
E 1,A121799,Darren,Hall,No,No,No,No,B,Carry Optics,696.2946,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 2,A133487,Devin,DeGray,No,No,No,No,B,Carry Optics,686.2782,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Junior,No,No
E 3,A72159,Travis,Litts,No,No,No,No,A,Carry Optics,676.7031,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 4,A84437,Sebastian,Yordan,No,No,No,No,A,Carry Optics,661.6877,4,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 5,A101785,John,Lohlun,No,No,No,No,A,Carry Optics,605.2143,5,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 6,TY123762,Joe,Warmus,No,No,No,No,C,Carry Optics,548.6149,6,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 7,,Cameron,Prosperi,No,No,No,No,U,Carry Optics,547.2074,7,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 8,A10123,Thomas,Bast,No,No,No,No,B,Carry Optics,528.0245,8,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 9,A87563,Toby,Weskosky,No,No,No,No,U,Carry Optics,465.1564,9,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 10,A105243,Nicholas,Lupacchino,No,No,No,No,B,Carry Optics,459.9698,10,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 11,A91465,Earl,Paradise,No,No,No,No,C,Carry Optics,405.2907,11,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 12,FY74946,William,Litts,No,No,No,No,C,Carry Optics,392.5766,12,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 13,TY91771,john,parker,No,No,No,No,C,Carry Optics,270.4208,13,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 14,,AJ,Fazio,No,No,No,No,U,Carry Optics,249.2570,14,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 15,A119975,Zack,Knightly,No,No,No,No,B,Limited,716.7050,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Junior,No,No
E 16,A103207,Andrew,McDowell,No,No,No,No,C,Limited,506.7842,2,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 17,A139798,Jason,Knightly,No,No,No,No,U,Limited,488.5701,3,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 18,TY45333,Chris,Colombo,No,No,No,No,C,Limited,403.4993,4,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 19,TY91772,Lori,Badura,No,No,No,No,D,Limited,254.3083,5,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,Yes,,No,No
E 20,TY102135,Joe,Surprenant,No,No,No,No,A,Open,700.0455,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 21,A102251,Tyler,Weatherwax,No,No,No,No,M,Open,694.8638,2,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 22,TY11901,david,lopez,No,No,No,No,A,Open,576.7717,3,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 23,TY79508,Shane,Fungafat,No,No,No,No,A,Open,531.7393,4,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 24,L4761,Bob,Young,No,No,No,No,C,Open,508.5365,5,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 25,A60885,Lou,Denys,No,No,No,No,B,Open,471.2503,6,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 26,FY117361,Peter,Terlesky,No,No,No,No,C,Open,302.5478,7,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 27,A81453,Dennis,Riley,No,No,No,No,B,Production,670.8742,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 28,A115234,Mike,Francolini,No,No,No,No,C,Production,594.7597,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 29,,CLINTON,O'MALLEY,No,No,No,No,U,Production,424.0164,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 30,,Frank,Fazio,No,No,No,No,U,Production,167.5843,4,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 31,TY100135,Bill,Thorpe,No,No,No,No,M,Revolver,740.0000,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 32,TY74271,Bob,Donovan,No,No,No,No,A,Single Stack,740.0000,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
F Number,Guntype,Minimum Rounds,Maximum Points,Classifier,Classifier_No,Stage_name,ScoringType,TimesRun
G 1,Pistol,12,60,Yes,99-22,Nuevo El Presidente,Virginia,1
G 2,Pistol,10,50,No,,Stage 2,Comstock,1
G 3,Pistol,32,160,No,,Stage 3,Comstock,1
G 4,Pistol,32,160,No,,Stage 4,Comstock,1
G 5,Pistol,30,150,No,,Stage 5,Comstock,1
G 6,Pistol,32,160,No,,Stage 6,Comstock,1
H Gun,Stage,Comp,DQ,DNF,A,B,C,D,Miss,No Shoot,Procedural,Double Poppers,Double Popper Miss,Late Shot,Extra Shot,Extra Hit,No Penalty Miss,Additional Penalty,Total Penalty,T1,T2,T3,T4,T5,Time,Raw Points,Total Points,Hit Factor,Stage Points,Stage Place,Stage Power Factor
I Pistol,1,1,No,Yes,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02,0,0,0,0,8.02,60,60,7.4813,52.8926,3,
I Pistol,1,2,No,Yes,9,0,2,0,1,1,0,0,0,0,0,0,0,0,20,6.23,0,0,0,0,6.23,51,31,4.9759,35.1795,9,
I Pistol,1,3,No,Yes,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8.23,0,0,0,0,8.23,50,50,6.0753,42.9522,4,
I Pistol,1,4,No,Yes,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6.71,0,0,0,0,6.71,52,52,7.7496,54.7894,2,
I Pistol,1,5,No,Yes,5,0,6,1,0,1,0,0,0,0,0,0,0,0,10,5.97,0,0,0,0,5.97,44,34,5.6951,40.2642,5,
I Pistol,1,6,No,Yes,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10.01,0,0,0,0,10.01,56,56,5.5944,39.5522,6,
I Pistol,1,7,No,Yes,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0,7.07,60,60,8.4866,60.0000,1,
I Pistol,1,8,No,Yes,9,0,2,0,1,0,0,0,0,0,0,0,0,0,10,7.5,0,0,0,0,7.50,51,41,5.4667,38.6494,7,
I Pistol,1,9,No,Yes,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9.96,0,0,0,0,9.96,52,52,5.2209,36.9116,8,
I Pistol,1,10,No,Yes,6,0,2,2,2,0,0,0,0,0,0,0,0,0,20,9.92,0,0,0,0,9.92,38,18,1.8145,12.8285,14,
I Pistol,1,11,No,Yes,5,0,5,1,1,1,0,0,0,0,0,0,0,0,20,10.73,0,0,0,0,10.73,41,21,1.9571,13.8366,13,
I Pistol,1,12,No,Yes,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,11.94,58,58,4.8576,34.3431,10,
I Pistol,1,13,No,Yes,7,0,4,0,1,0,0,0,0,0,0,0,0,0,10,10.99,0,0,0,0,10.99,47,37,3.3667,23.8025,11,
I Pistol,1,14,No,Yes,10,0,0,1,1,0,0,0,0,0,0,0,0,0,10,14.88,0,0,0,0,14.88,51,41,2.7554,19.4806,12,
I Pistol,1,15,No,Yes,2,0,8,1,1,0,0,0,0,0,0,0,0,0,10,9.24,0,0,0,0,9.24,44,34,3.6797,37.4938,3,
I Pistol,1,16,No,Yes,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9.51,0,0,0,0,9.51,56,56,5.8885,60.0000,1,
I Pistol,1,17,No,Yes,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,0,9.55,55,55,5.7592,58.6825,2,
I Pistol,1,18,No,Yes,8,0,2,1,1,1,0,0,0,0,0,0,0,0,20,12.01,0,0,0,0,12.01,50,30,2.4979,25.4520,4,
I Pistol,1,19,No,Yes,5,0,5,1,1,0,0,0,0,0,0,0,0,0,10,12.88,0,0,0,0,12.88,41,31,2.4068,24.5237,5,
I Pistol,1,20,No,Yes,8,0,3,0,1,0,0,0,0,0,0,0,0,0,10,6.03,0,0,0,0,6.03,52,42,6.9652,60.0000,1,
I Pistol,1,21,No,Yes,7,0,4,0,1,2,0,0,0,0,0,0,0,0,30,6.06,0,0,0,0,6.06,51,21,3.4653,29.8510,5,
I Pistol,1,22,No,Yes,10,0,2,0,0,0,2,0,0,0,0,0,0,0,20,7.69,0,0,0,0,7.69,58,38,4.9415,42.5673,3,
I Pistol,1,23,No,Yes,7,0,3,0,2,2,1,0,0,0,0,0,0,0,50,7.52,0,0,0,0,7.52,47,0,0.0000,0.0000,7,
I Pistol,1,24,No,Yes,7,0,4,0,1,0,0,0,0,0,0,0,0,0,10,9.13,0,0,0,0,9.13,51,41,4.4907,38.6840,4,
I Pistol,1,25,No,Yes,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,10.11,54,54,5.3412,46.0105,2,
I Pistol,1,26,No,Yes,9,0,2,1,0,1,0,0,0,0,0,0,0,0,10,13,0,0,0,0,13.00,55,45,3.4615,29.8182,6,
I Pistol,1,27,No,Yes,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,10.79,0,0,0,0,10.79,50,50,4.6339,44.6591,2,
I Pistol,1,28,No,Yes,7,0,4,1,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,7.71,48,48,6.2257,60.0000,1,
I Pistol,1,29,No,Yes,4,0,6,0,2,3,0,0,0,0,0,0,0,0,50,12.33,0,0,0,0,12.33,38,0,0.0000,0.0000,4,
I Pistol,1,30,No,Yes,8,0,2,1,1,0,0,0,0,0,0,0,0,0,10,21.19,0,0,0,0,21.19,47,37,1.7461,16.8280,3,
I Pistol,1,31,No,Yes,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14,0,0,0,0,10.14,60,60,5.9172,60.0000,1,
I Pistol,1,32,No,Yes,11,0,0,0,1,0,0,0,0,0,0,0,0,0,10,8.74,0,0,0,0,8.74,55,45,5.1487,60.0000,1,
I Pistol,2,1,No,Yes,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0,0,0,0,4.11,46,46,11.1922,37.5406,9,
I Pistol,2,2,No,Yes,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,3.22,48,48,14.9068,50.0000,1,
I Pistol,2,3,No,Yes,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,2.99,44,44,14.7157,49.3590,2,
I Pistol,2,4,No,Yes,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,0,0,3.01,42,42,13.9535,46.8025,4,
I Pistol,2,5,No,Yes,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,3.25,46,46,14.1538,47.4743,3,
I Pistol,2,6,No,Yes,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,4.27,48,48,11.2412,37.7049,8,
I Pistol,2,7,No,Yes,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,0,0,4.07,50,50,12.2850,41.2060,5,
I Pistol,2,8,No,Yes,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,4.02,46,46,11.4428,38.3811,7,
I Pistol,2,9,No,Yes,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,5.20,44,44,8.4615,28.3813,12,
I Pistol,2,10,No,Yes,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0,4.01,48,48,11.9701,40.1498,6,
I Pistol,2,11,No,Yes,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,0,0,0,0,5.02,50,50,9.9602,33.4082,10,
I Pistol,2,12,No,Yes,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,6.01,48,48,7.9867,26.7888,13,
I Pistol,2,13,No,Yes,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4.98,0,0,0,0,4.98,46,46,9.2369,30.9822,11,
I Pistol,2,14,No,Yes,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0,0,7.58,50,50,6.5963,22.1251,14,
I Pistol,2,15,No,Yes,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,3.83,47,47,12.2715,49.2112,2,
I Pistol,2,16,No,Yes,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,3.93,49,49,12.4682,50.0000,1,
I Pistol,2,17,No,Yes,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,0,0,0,0,4.82,50,50,10.3734,41.5994,4,
I Pistol,2,18,No,Yes,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4.53,0,0,0,0,4.53,48,48,10.5960,42.4921,3,
I Pistol,2,19,No,Yes,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.61,0,0,0,0,6.61,48,48,7.2617,29.1209,5,
I Pistol,2,20,No,Yes,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0,0,0,0,2.98,49,49,16.4430,50.0000,1,
I Pistol,2,21,No,Yes,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.14,0,0,0,0,3.14,49,49,15.6051,47.4521,2,
