$PRACTISCORE 1.682 RESULTS
$INFO Region:USPSA
$INFO PLATFORM IOS
$INFO PractiScore_Product: PractiScore (iOS)
$INFO PractiScore_Version:1.682
$INFO Match name:2022 Cornhusker Classic USPSA by Ben Stoeger Pro Shop
$INFO Match date:06/24/2022
$INFO Club Name:Eastern Nebraska Gun Club
$INFO Club Code:GP14
$INFO Multigun:0
$INFO Scoring:0
$INFO Classifiers:0
$INFO Match Level: Level II
Z 3.0
A 2022 Cornhusker Classic USPSA by Ben Stoeger Pro Shop,Eastern Nebraska Gun Club,06/24/2022
D Comp,USPSA,FirstName,LastName,DQPistol,DQRifle,DQShotgun,Reentry,Class,Division,Match Points,Place Overall,Power Factor,Shotgun Division,Shotgun Power Factor,Shotgun Place Overall,Shotgun Entered,Shotgun Match Points,Rifle Division,Rifle Power Factor,Rifle Place Overall,Rifle Entered,Rifle Match Points,Aggregate,Aggregate Division,Aggregate Pistol Percent,Aggregate Pistol Points,Aggregate Place,Aggregate Rifle Percent,Aggregate Rifle Points,Aggregate Shotgun Percent,Aggregate Shotgun Points,Aggregate Total,Female,Age,Law,Military
E 1,TY98625,Lane,Gries,No,No,No,No,GM,Carry Optics,1148.4434,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 2,A116283,Tim,Dunderi,No,No,No,No,GM,Carry Optics,1145.8585,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 3,A86278,Hwansik,Kim,No,No,No,No,GM,Carry Optics,1127.8158,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 4,A130247,Jared,Clanton,No,No,No,No,GM,Carry Optics,1107.9908,4,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 5,A56236,Jonathan,Anderson,No,No,No,No,A,Carry Optics,988.4442,5,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 6,TY114132,Martin,Smith,No,No,No,No,A,Carry Optics,980.7094,6,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 7,L3232,Thomas,Howard,No,No,No,No,M,Carry Optics,975.5858,7,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 8,L4511,Alex,Acosta,No,No,No,No,GM,Carry Optics,973.9251,8,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 9,L4806,Keith,Stephenson,No,No,No,No,M,Carry Optics,954.9175,9,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 10,TY101521,Jeff,King,No,No,No,No,M,Carry Optics,950.7231,10,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 11,A107227,Kenny,Nguyen,No,No,No,No,M,Carry Optics,938.1766,11,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 12,L5071,Zach,Petzoldt,No,No,No,No,M,Carry Optics,929.7342,12,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 13,A85909,Mike,Rolland,No,No,No,No,M,Carry Optics,925.4693,13,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 14,TY107850,Drew,Gadberry,No,No,No,No,A,Carry Optics,913.1589,14,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 15,IPSCCANADAMEMBER,Josh,Mate,No,No,No,No,U,Carry Optics,910.9437,15,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 16,A118717,Vincent,Hall,No,No,No,No,M,Carry Optics,909.4715,16,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 17,TY123292,Stephen,Tomilson,No,No,No,No,A,Carry Optics,909.4162,17,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 18,TY102214,Kyle,McNabb,No,No,No,No,M,Carry Optics,896.3666,18,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 19,A133959,Jeff,Fowler,No,No,No,No,B,Carry Optics,870.5234,19,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 20,L4421,Robert,Olson,No,No,No,No,A,Carry Optics,869.4359,20,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 21,TY112165,Daniel,Hanus,No,No,No,No,A,Carry Optics,840.2235,21,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
