$PRACTISCORE 1.682 RESULTS
$INFO Region:USPSA
$INFO PLATFORM IOS
$INFO PractiScore_Product: PractiScore (iOS)
$INFO PractiScore_Version:1.682
$INFO Match name:2022 EGW Area 8 Champioinship
$INFO Match date:08/25/2022
$INFO Club Name:Ontelaunee Rod & Gun Club
$INFO Club Code:MID03
$INFO Multigun:0
$INFO Scoring:0
$INFO Classifiers:0
$INFO Match Level: Level III
Z 3.0
A 2022 EGW Area 8 Champioinship,Ontelaunee Rod & Gun Club,08/25/2022
D Comp,USPSA,FirstName,LastName,DQPistol,DQRifle,DQShotgun,Reentry,Class,Division,Match Points,Place Overall,Power Factor,Shotgun Division,Shotgun Power Factor,Shotgun Place Overall,Shotgun Entered,Shotgun Match Points,Rifle Division,Rifle Power Factor,Rifle Place Overall,Rifle Entered,Rifle Match Points,Aggregate,Aggregate Division,Aggregate Pistol Percent,Aggregate Pistol Points,Aggregate Place,Aggregate Rifle Percent,Aggregate Rifle Points,Aggregate Shotgun Percent,Aggregate Shotgun Points,Aggregate Total,Female,Age,Law,Military
E 1,L4341,Mason,Lane,No,No,No,No,GM,Carry Optics,1244.2109,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 2,L3137,Simon joseph,Echavez racaza,No,No,No,No,GM,Carry Optics,1228.8121,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 3,L3837,Nils,Jonasson,No,No,No,No,GM,Carry Optics,1227.3675,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 4,TY106150,Tom,Castro,No,No,No,No,GM,Carry Optics,1198.8176,4,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 5,A104471,Jeff,Emrich,No,No,No,No,GM,Carry Optics,1161.5211,5,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 6,A83744,Scott,Rader,No,No,No,No,GM,Carry Optics,1138.3697,6,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 7,TY98581,Chris,Sendelsky,No,No,No,No,GM,Carry Optics,1131.9562,7,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 8,TY79695,John,Vlieger,No,No,No,No,GM,Carry Optics,1128.8202,8,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 9,L4988,Luke,Xuefeng cao,No,No,No,No,GM,Carry Optics,1097.7592,9,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 10,L5116,Randall,Towles,No,No,No,No,GM,Carry Optics,1074.5202,10,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 11,RD5,Phil,Strader,No,No,No,No,GM,Carry Optics,1065.5157,11,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 12,A134400,Joshua (carde b),Cardenas,No,No,No,No,GM,Carry Optics,1054.0414,12,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 13,L4837,James,Cantrell,No,No,No,No,M,Carry Optics,1034.4982,13,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 14,A122115,Ben,Czyzewski,No,No,No,No,GM,Carry Optics,1022.1127,14,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 15,A104576,Anton,Siekmann,No,No,No,No,M,Carry Optics,1013.3063,15,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 16,TY124069,Dylan,Poulin,No,No,No,No,M,Carry Optics,1007.3981,16,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 17,A90521,Samuel,Callahan,No,No,No,No,M,Carry Optics,996.8266,17,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 18,TY128047,John,Treat,No,No,No,No,M,Carry Optics,981.4553,18,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 19,TY128393,Lane,Nelson,No,No,No,No,M,Carry Optics,979.5087,19,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 20,TY28555,Todd,Sindelar,No,No,No,No,M,Carry Optics,979.2864,20,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
