$PRACTISCORE 1.682 RESULTS
$INFO Region:USPSA
$INFO PLATFORM IOS
$INFO PractiScore_Product: PractiScore (iOS)
$INFO PractiScore_Version:1.682
$INFO Match name:Brass Monkey Bullets Atomic Blast-2022 Tennessee Section Championship
$INFO Match date:09/15/2022
$INFO Club Name:Orsa Practical Shooters
$INFO Club Code:TN11
$INFO Multigun:0
$INFO Scoring:0
$INFO Classifiers:0
$INFO Match Level: Level II
Z 3.0
A Brass Monkey Bullets Atomic Blast-2022 Tennessee Section Championship,Orsa Practical Shooters,09/15/2022
D Comp,USPSA,FirstName,LastName,DQPistol,DQRifle,DQShotgun,Reentry,Class,Division,Match Points,Place Overall,Power Factor,Shotgun Division,Shotgun Power Factor,Shotgun Place Overall,Shotgun Entered,Shotgun Match Points,Rifle Division,Rifle Power Factor,Rifle Place Overall,Rifle Entered,Rifle Match Points,Aggregate,Aggregate Division,Aggregate Pistol Percent,Aggregate Pistol Points,Aggregate Place,Aggregate Rifle Percent,Aggregate Rifle Points,Aggregate Shotgun Percent,Aggregate Shotgun Points,Aggregate Total,Female,Age,Law,Military
E 1,A110330,Trace,Decker,No,No,No,No,GM,Carry Optics,1357.7551,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 2,A95225,Garran,Singleton,No,No,No,No,GM,Carry Optics,1337.2500,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 3,A132639,Michael,Norman,No,No,No,No,M,Carry Optics,1263.8620,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 4,TY132693,Magnus,Krohn,No,No,No,No,M,Carry Optics,1263.5955,4,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 5,TY98458,Erik,Schall,No,No,No,No,GM,Carry Optics,1250.0175,5,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 6,TY94240,Andy,Walker,No,No,No,No,M,Carry Optics,1239.2128,6,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 7,A88221,Jon,Bautista,No,No,No,No,GM,Carry Optics,1232.5343,7,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 8,A135704,Corrie,Harlow,No,No,No,No,M,Carry Optics,1216.7429,8,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 9,TY119485,Philip,Giannone,No,No,No,No,M,Carry Optics,1211.7700,9,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 10,L2525,Keith,Tyler,No,No,No,No,GM,Carry Optics,1198.1476,10,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
