$PRACTISCORE 1.682 RESULTS
$INFO Region:USPSA
$INFO PLATFORM IOS
$INFO PractiScore_Product: PractiScore (iOS)
$INFO PractiScore_Version:1.682
$INFO Match name:2022 Carolina Classic Sponsored by The Blue Bullets
$INFO Match date:09/16/2022
$INFO Club Name:Rowan County Wildlife Assoc.
$INFO Club Code:NC18
$INFO Multigun:0
$INFO Scoring:0
$INFO Classifiers:0
$INFO Match Level: Level II
Z 3.0
A 2022 Carolina Classic Sponsored by The Blue Bullets,Rowan County Wildlife Assoc.,09/16/2022
D Comp,USPSA,FirstName,LastName,DQPistol,DQRifle,DQShotgun,Reentry,Class,Division,Match Points,Place Overall,Power Factor,Shotgun Division,Shotgun Power Factor,Shotgun Place Overall,Shotgun Entered,Shotgun Match Points,Rifle Division,Rifle Power Factor,Rifle Place Overall,Rifle Entered,Rifle Match Points,Aggregate,Aggregate Division,Aggregate Pistol Percent,Aggregate Pistol Points,Aggregate Place,Aggregate Rifle Percent,Aggregate Rifle Points,Aggregate Shotgun Percent,Aggregate Shotgun Points,Aggregate Total,Female,Age,Law,Military
E 1,L5116,Randall,Towles,No,No,No,No,GM,Carry Optics,977.4047,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 2,B87,Ryan,Flowers,No,No,No,No,GM,Carry Optics,967.1307,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 3,A113228,Billy,Barton,No,No,No,No,GM,Carry Optics,949.2090,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 4,TY103667,Keanu,Sy,No,No,No,No,GM,Carry Optics,949.0242,4,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 5,A134400,Joshua (carde b),Cardenas,No,No,No,No,GM,Carry Optics,922.9025,5,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 6,A108977,Rj,Mcvoy,No,No,No,No,GM,Carry Optics,921.7874,6,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 7,TY136419,Tanner,Wright,No,No,No,No,M,Carry Optics,913.3410,7,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 8,A111073,Matt,Hemple,No,No,No,No,GM,Carry Optics,907.0044,8,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 9,A88221,Jon,Bautista,No,No,No,No,GM,Carry Optics,897.3290,9,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 10,A92146,Ryan,Rassouli,No,No,No,No,M,Carry Optics,847.7609,10,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 11,A130958,Micha,Mclain,No,No,No,No,B,Carry Optics,842.5033,11,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 12,A113779,Thomas,Mccaskill,No,No,No,No,A,Carry Optics,840.1008,12,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 13,TY90153,George,Shorter,No,No,No,No,A,Carry Optics,836.6108,13,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 14,A110753,Aaron,English,No,No,No,No,M,Carry Optics,833.7554,14,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 15,A120293,Alexandru,Davidovici,No,No,No,No,M,Carry Optics,832.5453,15,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 16,A123280,Don,Smart,No,No,No,No,M,Carry Optics,831.7453,16,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 17,L5380,Ben,Berry,No,No,No,No,M,Carry Optics,821.7518,17,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 18,A128542,Rafael,Revollo,No,No,No,No,A,Carry Optics,805.1260,18,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 19,A127719,Robert,Hewins,No,No,No,No,A,Carry Optics,804.9431,19,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 20,TY103705,Blake,Arnold,No,No,No,No,M,Carry Optics,804.7053,20,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 21,A83833,Lukas,Herbst,No,No,No,No,M,Carry Optics,803.1167,21,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 22,A127310,Cody,George,No,No,No,No,A,Carry Optics,802.6186,22,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 23,A91007,Gil,Narvaez,No,No,No,No,A,Carry Optics,784.0786,23,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 24,A104834,Logan,Saunders,No,No,No,No,A,Carry Optics,779.9700,24,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 25,A133539,James,Light,No,No,No,No,A,Carry Optics,767.2161,25,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 26,A137847,Sam,Knapp,No,No,No,No,A,Carry Optics,758.6669,26,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 27,A124088,Chuck,Kuang,No,No,No,No,M,Carry Optics,758.6550,27,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 28,FY94292,Tj,Meyers,No,No,No,No,M,Carry Optics,757.1980,28,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 29,TY75765,David,White,No,No,No,No,A,Carry Optics,754.3823,29,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 30,FY87879,Robert,Wyatt,No,No,No,No,A,Carry Optics,753.3395,30,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 31,A115739,Ryan,Lee,No,No,No,No,U,Carry Optics,751.2313,31,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 32,A104252,Rob,Teague,No,No,No,No,A,Carry Optics,751.1947,32,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 33,A101947,David,Chase,No,No,No,No,B,Carry Optics,747.2763,33,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Junior,No,No
E 34,TY119795,Kevin,Fan,No,No,No,No,A,Carry Optics,737.7560,34,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 35,A140603,Daniel,Mcalister,No,No,No,No,B,Carry Optics,732.2578,35,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 36,A121383,Konrad,Thaler,No,No,No,No,B,Carry Optics,726.2142,36,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 37,A143175,Caleb,Cross,No,No,No,No,B,Carry Optics,718.7754,37,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 38,A116600,Tim,Owen,No,No,No,No,A,Carry Optics,717.7695,38,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 39,TY79620,David,Blair,No,No,No,No,B,Carry Optics,709.9399,39,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 40,TY48498,Paul,Deel,No,No,No,No,A,Carry Optics,709.7549,40,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 41,TY89295,Chase,Farkas,No,No,No,No,B,Carry Optics,703.1155,41,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 42,TY73345,Gary,Crouch,No,No,No,No,A,Carry Optics,702.3546,42,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 43,A119204,Alex,Chappell,No,No,No,No,A,Carry Optics,700.1485,43,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 44,A135675,Matt,Bowman,No,No,No,No,B,Carry Optics,698.6404,44,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 45,A99492,Simon,Gonzalez,No,No,No,No,B,Carry Optics,696.2563,45,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 46,TY122867,Maxwell,Gates,No,No,No,No,A,Carry Optics,694.3468,46,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 47,A134742,Larry,Kouns,No,No,No,No,B,Carry Optics,691.1990,47,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 48,A106898,Darby,Metcalf,No,No,No,No,C,Carry Optics,683.2692,48,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 49,A143160,Nathan,Carvalho,No,No,No,No,B,Carry Optics,681.8476,49,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 50,A127720,Bruno,Espinosa,No,No,No,No,A,Carry Optics,680.2438,50,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 51,A84437,Sebastian,Yordan,No,No,No,No,A,Carry Optics,675.5746,51,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 52,TY81761,John,Dolan,No,No,No,No,B,Carry Optics,670.1118,52,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 53,L4619,Tudor,Sturzu,No,No,No,No,B,Carry Optics,668.4373,53,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 54,A128055,Stephen,Mormile,No,No,No,No,B,Carry Optics,666.2508,54,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 55,A128173,Samuel,Caldwell,No,No,No,No,B,Carry Optics,665.3396,55,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 56,TY101905,Mark,Gibbons,No,No,No,No,B,Carry Optics,660.0808,56,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 57,L5378,Michael,Morris,No,No,No,No,B,Carry Optics,659.8180,57,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
